old_slug,new_slug,old_title,new_title,method,score
2023-hr-1,2023-hr-1-2-1,1) 장애정도,1) 장애정도,title,0.919
2023-hr-1-2,2023-hr-2-1-1,1) 장애인교원 인사관리 기본 방향 및 고려 사항,1) 장애인교원 인사관리 기본 방향 및 고려 사항,title,0.924
2023-hr-1-3,2023-hr-2-2-1,1) 신규 임용,1) 신규 임용,title,0.873
2023-hr-1-4,2023-hr-2-3-1,1) 업무분장 등에서의 고려 사항,1) 업무분장 등에서의 고려 사항,title,0.920
2023-hr-1-5,2023-hr-app-3-1,1) 인적지원,1) 인적지원,title,0.038
2023-hr-1-6,2023-hr-3-2-4-1,(1) 정보접근 지원 개념과 원칙,(1) 정보접근 지원 개념과 원칙,title,0.969
2023-hr-1-7,2023-hr-app-3,1. 시·도교육청 장애인교원 업무 담당(지원) 부서 및 연락처,<부록3> 장애인교원 관련 유관기관 정보,containment,0.936
2023-hr-1-8,2023-hr-app-3-1,1) 인적지원,1) 인적지원,title,0.858
2023-hr-2,2023-hr-1-2-2,2) 장애유형,2) 장애유형,title,0.894
2023-hr-2-2,2023-hr-2-1-2,2) 개인정보보호,2) 개인정보보호,title,0.898
2023-hr-2-3,2023-hr-2-2-2-1,2) 전보 임용,(1) 개요,containment,0.704
2023-hr-2-4,2023-hr-2-3-2-4,2) 주요 업무별 고려 사항,(4) 순회ㆍ겸임 업무 담당 장애인교원에 대한 지원 마련,containment,0.542
2023-hr-2-5,2023-hr-3-2-2,2) 의사소통 지원,2) 의사소통 지원,title,0.294
2023-hr-2-6,2023-hr-3-2-4-2,(2) 정보접근 지원 관련 근거,(2) 정보접근 지원 관련 근거,title,0.619
2023-hr-2-7,2023-hr-app-3,2. 장애인교원 지원 관련 유관기관,<부록3> 장애인교원 관련 유관기관 정보,containment,0.910
2023-hr-2-8,2023-hr-app-3-2,2) 보조기기 지원 관련 기관,2) 보조기기 지원 관련 기관,title,0.876
2023-hr-3,2023-hr-2-2-3,3) 승진 임용,3) 승진 임용,title,0.877
2023-hr-3-2,2023-hr-app-2-x1-x2,개인정보 제3자 제공 및 처리 동의,개인정보 수집·이용 및 제공 사전 동의서(서비스 이용자용),subheading+containment,0.883
2023-hr-3-3,2023-hr-app-2-x2-x4,개인정보 제3자 제공 및 처리 동의,개인정보 수집·이용 및 제공 사전 동의서,subheading+containment,0.864
2023-hr-3-4,,3. 교원단체,,unmatched,0.483
2023-hr-3-5,2023-hr-app-3-3,3) 편의시설 지원 관련 기관,3) 편의시설 지원 관련 기관,title,0.053
2023-hr-5,2023-hr-3-2-5-1,5) 편의시설 지원,(1) 편의시설 지원의 개념 및 종류,containment,0.930
2023-hr-6,2023-hr-3-2-6-1,6) 근무환경 개선 지원,(1) 적절한 근무 장소 및 휴게 공간 제공,containment,0.862
2023-hr-7,2023-hr-3-2-7,7) 장애인교원에 대한 인식개선 노력,7) 장애인교원에 대한 인식개선 노력,title,0.944
2023-hr-8,2023-hr-3-2-8,8) 장애인지원관의 지정 등,8) 장애인지원관의 지정 등,title,0.923
2023-hr-appendix-007,2023-hr-x1-x3,부록,□ 안내서 활용 방법,containment,0.782
2023-hr-p-001,2023-hr-x1-x2,안내서 개발 목적,□ 안내서 개발 근거 및 주요 내용,subheading,0.975
2023-hr-p-002,2023-hr-x1-x2,안내서 개발 근거 및 주요 내용,□ 안내서 개발 근거 및 주요 내용,title,0.985
2023-hr-p-003,2023-hr-x1-x3,안내서 활용 방법,□ 안내서 활용 방법,title,0.986
2023-hr-p-004,2023-hr-x1-x3,장애인교원의 이해,□ 안내서 활용 방법,containment,0.667
2023-hr-p-005,2023-hr-x1-x3,장애인교원 인사관리,□ 안내서 활용 방법,containment,0.673
2023-hr-p-006,2023-hr-x1-x3,장애인교원 편의지원,□ 안내서 활용 방법,containment,0.705
2023-hr-p-010,2023-hr-1-2-2,<그림> 등록장애인의 장애유형,2) 장애유형,containment,0.640
2023-hr-p-011,2023-hr-1-2-2-1,장애특성,(1) 지체장애,containment,0.960
2023-hr-p-012,2023-hr-1-2-2-1,고려 사항,(1) 지체장애,containment,0.957
2023-hr-p-013,2023-hr-1-2-2-1,필요로 하는 편의지원 유형,(1) 지체장애,containment,0.504
2023-hr-p-014,2023-hr-1-2-2-2,장애특성,(2) 뇌병변장애,containment,0.966
2023-hr-p-015,2023-hr-1-2-2-2,고려 사항,(2) 뇌병변장애,containment,0.952
2023-hr-p-016,2023-hr-1-2-2-2,필요로 하는 편의지원 유형,(2) 뇌병변장애,containment,0.914
2023-hr-p-017,2023-hr-1-2-2-3,장애특성,(3) 시각장애,containment,0.965
2023-hr-p-018,2023-hr-1-2-2-3,고려 사항,(3) 시각장애,containment,0.951
2023-hr-p-019,2023-hr-1-2-2-3,필요로 하는 편의지원 유형,(3) 시각장애,containment,0.770
2023-hr-p-020,2023-hr-1-2-2-4,장애특성,(4) 청각장애,containment,0.930
2023-hr-p-021,2023-hr-1-2-2-4,고려 사항,(4) 청각장애,containment,0.945
2023-hr-p-022,2023-hr-1-2-2-4,필요로 하는 편의지원 유형,(4) 청각장애,containment,0.840
2023-hr-p-023,2023-hr-1-2-2-5,장애특성,(5) 언어장애,containment,0.958
2023-hr-p-024,2023-hr-1-2-2-5,고려 사항,(5) 언어장애,containment,0.952
2023-hr-p-025,2023-hr-1-2-2-5,필요로 하는 편의지원 유형,(5) 언어장애,containment,0.898
2023-hr-p-026,2023-hr-1-2-2-6,장애특성,(6) 안면장애,containment,0.945
2023-hr-p-027,2023-hr-1-2-2-6,고려 사항,(6) 안면장애,containment,0.927
2023-hr-p-028,,필요로 하는 편의지원 유형,,unmatched,0.365
2023-hr-p-029,2023-hr-1-2-2-7,장애특성,(7) 신장장애,containment,0.953
2023-hr-p-030,2023-hr-1-2-2-7,고려 사항,(7) 신장장애,containment,0.936
2023-hr-p-031,2023-hr-1-2-2-7,필요로 하는 편의지원 유형,(7) 신장장애,containment,0.878
2023-hr-p-032,2023-hr-1-2-2-8,장애특성,(8) 심장장애,containment,0.949
2023-hr-p-033,2023-hr-1-2-2-8,고려 사항,(8) 심장장애,containment,0.952
2023-hr-p-034,2023-hr-1-2-2-10,필요로 하는 편의지원 유형,(10) 간장애,containment,0.917
2023-hr-p-035,2023-hr-1-2-2-9,장애특성,(9) 호흡기장애,containment,0.943
2023-hr-p-036,2023-hr-1-2-2-9,고려 사항,(9) 호흡기장애,containment,0.947
2023-hr-p-037,2023-hr-1-2-2-9,필요로 하는 편의지원 유형,(9) 호흡기장애,containment,0.938
